datetime,indoor_CO2,indoor_Temp,indoor_RH,outdoor_Temp
2021-06-01 00:00:00,1188.75,27.55,45.025,20.875
2021-06-01 01:00:00,1173.5,26.95,42.05,20.625
2021-06-01 02:00:00,1137.5,27.0,50.75,20.35
2021-06-01 03:00:00,1239.0,27.325,54.875,20.200000000000003
2021-06-01 04:00:00,1247.5,27.375,52.275,19.9
2021-06-01 05:00:00,1269.0,27.35,53.025,19.8
2021-06-01 06:00:00,1296.75,27.35,52.475,19.625
2021-06-01 07:00:00,1333.25,27.4,52.675000000000004,19.5
2021-06-01 08:00:00,1230.0,27.525,52.449999999999996,21.0
2021-06-01 09:00:00,925.0,27.325,51.925,22.175
2021-06-01 10:00:00,1152.75,27.55,52.3,23.175
2021-06-01 11:00:00,1019.75,27.6,50.0,24.1
2021-06-01 12:00:00,887.0,27.6,48.775,24.925
2021-06-01 13:00:00,777.25,27.6,47.75,26.325
2021-06-01 14:00:00,707.75,27.6,46.975,26.6
2021-06-01 15:00:00,654.25,27.6,46.15,27.075
2021-06-01 16:00:00,624.5,27.6,45.6,28.875
2021-06-01 17:00:00,589.0,27.6,44.75,28.775
2021-06-01 18:00:00,572.25,27.6,44.425,28.3
2021-06-01 19:00:00,554.0,27.6,43.75,27.3
2021-06-01 20:00:00,551.75,27.65,43.05,25.575000000000003
2021-06-01 21:00:00,545.75,27.7,42.775,23.475
2021-06-01 22:00:00,530.0,27.7,43.025,21.675
2021-06-01 23:00:00,513.25,27.7,43.025,20.775
2021-06-02 00:00:00,503.5,27.725,43.150000000000006,20.125
2021-06-02 01:00:00,504.0,27.7,43.375,19.6
2021-06-02 02:00:00,500.0,27.7,43.525,19.325
2021-06-02 03:00:00,500.0,27.675,43.575,18.575
2021-06-02 04:00:00,500.0,27.6,43.625,17.95
2021-06-02 05:00:00,500.0,27.525,43.625,17.4
2021-06-02 06:00:00,500.0,27.424999999999997,43.575,17.875
2021-06-02 07:00:00,500.0,27.325,43.5,19.9
2021-06-02 08:00:00,500.0,27.25,43.349999999999994,18.9
2021-06-02 09:00:00,500.0,27.2,43.175000000000004,19.950000000000003
2021-06-02 10:00:00,500.0,27.2,43.225,21.75
2021-06-02 11:00:00,500.0,27.2,43.375,23.825000000000003
2021-06-02 12:00:00,500.0,27.2,43.650000000000006,26.0
2021-06-02 13:00:00,500.0,27.2,43.8,27.125
2021-06-02 14:00:00,500.0,27.2,44.0,27.825
2021-06-02 15:00:00,500.0,27.2,44.150000000000006,28.725
2021-06-02 16:00:00,500.0,27.2,43.9,31.575000000000003
2021-06-02 17:00:00,502.5,27.275,43.65,32.55
2021-06-02 18:00:00,500.0,27.3,43.525,32.125
2021-06-02 19:00:00,500.0,27.4,43.475,31.725
2021-06-02 20:00:00,500.0,27.45,43.375,30.65
2021-06-02 21:00:00,501.25,27.5,43.375,27.575
2021-06-02 22:00:00,504.5,27.6,43.150000000000006,24.65
2021-06-02 23:00:00,510.75,27.675,43.075,22.85
2021-06-03 00:00:00,502.0,27.7,42.849999999999994,21.6
2021-06-03 01:00:00,500.0,27.7,42.75,20.325000000000003
2021-06-03 02:00:00,500.0,27.7,42.75,19.8
2021-06-03 03:00:00,500.0,27.7,42.925,19.275
2021-06-03 04:00:00,500.0,27.6,43.1,19.275
2021-06-03 05:00:00,500.0,27.6,43.275,18.9
