datetime,indoor_CO2,indoor_Temp,indoor_RH,outdoor_Temp
2021-06-01 00:00:00,636.25,25.2,53.375,18.6
2021-06-01 01:00:00,539.0,25.424999999999997,51.25,18.5
2021-06-01 02:00:00,557.0,25.4,49.9,18.3
2021-06-01 03:00:00,542.75,25.35,49.3,18.3
2021-06-01 04:00:00,529.25,25.15,48.75,18.3
2021-06-01 05:00:00,531.25,25.0,48.55,18.0
2021-06-01 06:00:00,544.25,24.95,47.85,18.1
2021-06-01 07:00:00,539.25,24.9,46.425,18.5
2021-06-01 08:00:00,528.0,24.924999999999997,46.575,20.1
2021-06-01 09:00:00,494.25,24.85,47.375,21.2
2021-06-01 10:00:00,462.0,24.575,45.425,22.2
2021-06-01 11:00:00,473.25,24.425,42.7,22.8
2021-06-01 12:00:00,457.5,24.25,41.575,24.5
2021-06-01 13:00:00,452.75,24.65,41.1,25.9
2021-06-01 14:00:00,450.25,24.95,39.525,26.5
2021-06-01 15:00:00,452.5,25.225,38.625,26.5
2021-06-01 16:00:00,473.0,25.5,39.025,26.3
2021-06-01 17:00:00,516.25,25.825,39.75,25.1
2021-06-01 18:00:00,520.75,26.075000000000003,40.0,23.7
2021-06-01 19:00:00,523.75,26.15,40.225,22.0
2021-06-01 20:00:00,483.5,26.125,39.55,19.9
2021-06-01 21:00:00,452.5,25.6,39.375,18.7
2021-06-01 22:00:00,475.0,25.3,41.15,17.6
2021-06-01 23:00:00,651.75,25.575,42.6,16.9
2021-06-02 00:00:00,711.75,25.975,42.325,16.1
2021-06-02 01:00:00,783.5,26.0,42.85,15.6
2021-06-02 02:00:00,856.5,26.075000000000003,43.349999999999994,15.4
2021-06-02 03:00:00,868.75,26.075000000000003,43.6,14.9
2021-06-02 04:00:00,848.75,26.1,43.824999999999996,14.4
2021-06-02 05:00:00,813.0,26.075000000000003,43.75,14.1
2021-06-02 06:00:00,877.25,26.0,44.025,14.3
2021-06-02 07:00:00,765.75,25.85,43.825,18.3
2021-06-02 08:00:00,496.75,25.3,44.025,21.4
2021-06-02 09:00:00,518.5,25.1,44.65,23.5
2021-06-02 10:00:00,508.0,24.825,46.525,25.9
